label,f1_baseline,support_baseline,precision_baseline,recall_baseline,pr_auc_baseline,f1_transformer,support_transformer,precision_transformer,recall_transformer,pr_auc_transformer,f1_improvement
label_47,0.8920863309352518,62,0.8051948051948052,1.0,0.9475990042253363,0.8920863309352518,62.0,0.8051948051948052,1.0,0.9415375969572186,0.0
label_25,0.8759124087591241,60,0.7792207792207793,1.0,0.9807373604475259,0.8759124087591241,60.0,0.7792207792207793,1.0,0.946583023198344,0.0
label_21,0.8823529411764706,60,0.7894736842105263,1.0,0.9718213112081088,0.8759124087591241,60.0,0.7792207792207793,1.0,0.8428810347465009,-0.006440532417346434
label_32,0.8721804511278195,59,0.7837837837837838,0.9830508474576272,0.8951504835586317,0.8676470588235294,59.0,0.7662337662337663,1.0,0.7701373250485681,-0.004533392304290063
label_19,0.8939393939393939,59,0.8082191780821918,1.0,0.9450477037975343,0.8676470588235294,59.0,0.7662337662337663,1.0,0.7889245894804809,-0.026292335115864485
label_5,0.8592592592592593,58,0.7532467532467533,1.0,0.9699050429156691,0.8592592592592593,58.0,0.7532467532467533,1.0,0.8831626094211312,0.0
label_27,0.8484848484848485,56,0.7368421052631579,1.0,0.9153367914180258,0.8421052631578947,56.0,0.7272727272727273,1.0,0.7927024703260559,-0.006379585326953818
label_41,0.8709677419354839,56,0.7941176470588235,0.9642857142857143,0.8953403353691288,0.8421052631578947,56.0,0.7272727272727273,1.0,0.8143181343355227,-0.028862478777589184
label_17,0.859375,55,0.7534246575342466,1.0,0.9101145478625551,0.8333333333333334,55.0,0.7142857142857143,1.0,0.793452337814941,-0.02604166666666663
label_45,0.8503937007874016,55,0.75,0.9818181818181818,0.9569223261033611,0.8333333333333334,55.0,0.7142857142857143,1.0,0.8368096131672371,-0.017060367454068248
label_31,0.9026548672566371,52,0.8360655737704918,0.9807692307692307,0.959607449749205,0.8062015503875969,52.0,0.6753246753246753,1.0,0.8611448743264483,-0.09645331686904024
label_46,0.8,46,0.6875,0.9565217391304348,0.8647951785593784,0.7479674796747967,46.0,0.5974025974025974,1.0,0.6513468167038289,-0.052032520325203335
label_13,0.6966292134831461,38,0.6078431372549019,0.8157894736842105,0.8021135228470675,0.6608695652173913,38.0,0.4935064935064935,1.0,0.6178172762559192,-0.03575964826575484
label_36,0.5416666666666666,31,0.7647058823529411,0.41935483870967744,0.784346514260414,0.12121212121212122,31.0,1.0,0.06451612903225806,0.5015384852564166,-0.4204545454545454
label_14,0.4186046511627907,30,0.6923076923076923,0.3,0.6727303980446079,0.0,30.0,0.0,0.0,0.36170053610388836,-0.4186046511627907
label_38,0.20689655172413793,26,1.0,0.11538461538461539,0.6413507287645186,0.0,26.0,0.0,0.0,0.3917075643015733,-0.20689655172413793
label_40,0.0,5,0.0,0.0,0.3012840607668194,0.0,5.0,0.0,0.0,0.10570318907531881,0.0
label_39,0.058823529411764705,32,0.5,0.03125,0.6646569339297526,0.0,32.0,0.0,0.0,0.5865466051945967,-0.058823529411764705
label_24,0.0,11,0.0,0.0,0.38257057408000805,0.0,11.0,0.0,0.0,0.11361702150901759,0.0
label_37,0.0,11,0.0,0.0,0.29512455651633807,0.0,11.0,0.0,0.0,0.24531657810547938,0.0
label_34,0.0,11,0.0,0.0,0.3641033671287645,0.0,11.0,0.0,0.0,0.20752550107107998,0.0
label_22,0.0,14,0.0,0.0,0.3379156146593779,0.0,14.0,0.0,0.0,0.31945999162409,0.0
label_16,0.0,3,0.0,0.0,0.04350834350834351,0.0,3.0,0.0,0.0,0.09636222910216719,0.0
